subj,stimType,stimPos,resp,rt,initWheelPos,finalWheelPos,tone,flanker,cue,cuePos,trialNum,phase,bias,sex,hand,age,acc,err
RT_9-1,Right,5,Right,732,0,-3,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,3,Left,799,36,36,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,3,Left,664,-5,-3,Sound_1,Incongruent,y,3,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,2,Right,465,-34,-32,Sound_1,Incongruent,y,2,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,8,Left,632,2,-1,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,8,Right,566,-37,-38,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,6,Left,565,-1,-4,None,Congruent,y,6,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,5,Right,499,34,36,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,8,Left,532,-7,-6,None,None,y,8,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,3,Right,464,34,36,Sound_1,None,y,3,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,7,Left,431,-2,0,Sound_1,None,y,7,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,6,Left,567,-41,-41,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,4,Left,833,34,31,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,6,Left,532,-43,-42,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,8,Left,671,0,-3,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,3,Left,498,36,33,Sound_1,Congruent,y,3,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,7,Right,699,-9,-2,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,4,Right,436,-36,-37,Sound_1,None,y,4,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,6,Left,432,37,36,None,None,y,6,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,2,Left,702,-3,-3,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,6,Right,599,36,35,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,1,Left,699,-2,-3,None,Incongruent,y,1,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,1,Left,700,-41,-36,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,1,Left,571,37,37,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,4,Right,636,-49,-48,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
